MiniPatternLabel;JudgementOrder;PatternSegmentLabel
AC;DiSpTi;OperationDistance
DB;DiSpTi;OperationSpeed
CD;DiSpTi;OperationTime
BA;DiSpTi;ActionDistance
CB;DiSpTi;ActionSpeed
DA;DiSpTi;ActionTime
DC;DiSpTi;TaskDistance
AD;DiSpTi;TaskSpeed
BA;DiSpTi;TaskTime
AC;DiTiSp;OperationDistance
DB;DiTiSp;OperationTime
CD;DiTiSp;OperationSpeed
BA;DiTiSp;ActionDistance
CB;DiTiSp;ActionTime
DA;DiTiSp;ActionSpeed
DC;DiTiSp;TaskDistance
AD;DiTiSp;TaskTime
BA;DiTiSp;TaskSpeed
AC;SpDiTi;OperationSpeed
DB;SpDiTi;OperationDistance
CD;SpDiTi;OperationTime
BA;SpDiTi;ActionSpeed
CB;SpDiTi;ActionDistance
DA;SpDiTi;ActionTime
DC;SpDiTi;TaskSpeed
AD;SpDiTi;TaskDistance
BA;SpDiTi;TaskTime
AC;SpTiDi;OperationSpeed
DB;SpTiDi;OperationTime
CD;SpTiDi;OperationDistance
BA;SpTiDi;ActionSpeed
CB;SpTiDi;ActionTime
DA;SpTiDi;ActionDistance
DC;SpTiDi;TaskSpeed
AD;SpTiDi;TaskTime
BA;SpTiDi;TaskDistance
AC;TiDiSp;OperationTime
DB;TiDiSp;OperationDistance
CD;TiDiSp;OperationSpeed
BA;TiDiSp;ActionTime
CB;TiDiSp;ActionDistance
DA;TiDiSp;ActionSpeed
DC;TiDiSp;TaskTime
AD;TiDiSp;TaskDistance
BA;TiDiSp;TaskSpeed
AC;TiSpDi;OperationTime
DB;TiSpDi;OperationSpeed
CD;TiSpDi;OperationDistance
BA;TiSpDi;ActionTime
CB;TiSpDi;ActionSpeed
DA;TiSpDi;ActionDistance
DC;TiSpDi;TaskTime
AD;TiSpDi;TaskSpeed
BA;TiSpDi;TaskDistance
